IdStation,CodePostal,TypeRoute,Longitude,Latitude
2200007,02200,R,333331,4938639
2200008,02200,R,330450,4936436
2200010,02200,R,332985,4937046
2200011,02200,R,330822,4938127
2200012,02200,R,340346,4936299
2200013,02200,R,330178.391501,4938135.44743
2200014,02200,R,332914,4936808
2200015,02200,R,334074,4937102
2210001,02210,R,336302,4920038
2220001,02220,R,352855,4934096
2230001,02230,R,340414.797293,4996475.68063
2230002,02230,R,343042.81,4995751.4
2240001,02240,R,346696,4980095
2240002,02140,R,390538.04,4984316.38
2250001,02250,R,377337,4974284
2250002,02250,R,377406,4975078
2250003,02250,R,377165,4974792
2260001,02260,R,391800,4997300
2270001,02270,R,362156.79,4968920.34
2280001,02820,R,385600,4953100
2290001,02290,R,311391.330343,4940023.25424
2300001,02300,R,325950,4964287
2300002,02300,R,323369,4959139
2300003,02300,R,322189,4961836
2300005,02300,R,322022,4961093
2300006,02300,R,321575,4962645
2300009,02300,R,314929.08,4951975.29
2310001,02310,R,328015,4897646
2310002,02130,R,351429,4919591
2320001,02320,R,345063.258885,4949933.57558
2320002,02320,R,344000,4950600
2340001,02340,R,402200,4968900
2360001,02360,R,412856.03514007,4970949.3591295
2370004,02370,R,351505.06,4940560.11
2380001,02380,R,333560,4948858
2380002,02380,R,333560,4948858
2390002,02390,R,349412,4983722
2400001,02400,R,338700,4904000
2400002,02400,R,337869,4903422
2400004,02400,R,339000,4903700
2400005,02400,R,339140,4903520
2400007,02400,R,339916.61028551,4905531.5837997
2400008,02400,R,339518,4904318
2420001,02420,R,323160,4996029
2430001,02430,R,327920,4982606
2450002,02450,R,368700,5000100
2460001,02460,R,312480,4918562
2480001,02480,R,324509.89,4973350.01
2500001,02500,R,409110,4991115
2500002,02500,R,408392,4992073
2500003,02500,R,407700,4991600
2500004,02500,R,408392,4992073
2600001,02600,R,308200,4925100
2600003,02600,R,309066,4925083
2600004,02600,R,305858.61247957,4925187.0582801
2600005,02600,R,307679.246569,4925113.78044
2603001,02600,R,309786.545365,4924024.48976
2690001,02690,A,327799,4977752
2690002,02690,A,327799,4977752
2700001,02700,R,328029,4965048
2700002,02700,R,328988,4965592
2800001,02800,R,338429.761564,4965769.35806
2800002,02800,R,337587,4966174
2800003,02800,R,334400,4966100
2800004,02800,R,337185,4966023
2860001,02860,R,365400,4953300
2880001,02880,R,335632,4939825
3000001,03000,R,334400,4654100
3000002,03000,R,332003,4656057
3000003,03000,R,331500,4658700
3000004,03000,R,330400,4660300
3000005,03000,R,332000,4656200
3000006,03000,R,331100,4658900
3000007,03000,R,332021.254,4656063.626
3100001,03100,R,260218.545365,4634744.38067
3100002,03100,R,259175.308716,4634314.29008
3100004,03100,R,259095,4635228
3100005,03100,R,258740,4635263
3100006,03170,A,280030,4635591
3100007,03100,R,258098.68850979,4632005.8353029
3100008,03100,R,260087,4633362
3100009,03100,R,260860,4632768
3100010,03100,R,258200,4634000
3100011,03100,R,259106.74934893,4635225.7146826
3110001,03110,R,339400,4615500
3110003,03110,R,326500,4619200
3120001,03120,R,363000,4624800
3120002,03120,R,362323.336311,4625560.73783
3120003,03120,R,362760,4624944
3120004,03120,R,363028,4624965
3120005,03120,R,362900,4624800
3130002,03130,R,379313,4634868
3150001,03150,R,339200,4632200
3150002,03150,R,341231.499107,4630871.49268
3150004,03150,R,339336.068494,4631907.93278
3150005,03150,R,339800,4631600
3150006,03150,R,338800,4632800
3160001,03160,R,306336,4658333
3170001,03170,A,279688,4633510
3190003,03190,R,262100,4653300
3200002,03200,R,343769,4611614
3200003,03200,R,343400,4613100
3200005,03200,R,341497,4614259
3210001,03210,R,320303,4653622
3240002,03240,R,301900,4637500
3250002,03250,R,366341,4606849
3260001,03260,R,343240,4620480
3270001,03270,R,347014.954,4605456.08
3286001,03400,R,336080.003573,4650629.60468
3290001,03290,R,366900,4652900
3290002,03290,R,369166,4651738
3290003,03290,R,368529.42,4651899.7
3300001,03300,R,344866.775,4613843.645
3300002,03300,R,344939.219773,4613369.2098
3300003,03300,R,345484.396671,4613554.06607
3310001,03310,R,266764,4628425
3310002,03310,R,266920,4628323
3320001,03320,R,293800,4673100
3350002,03350,R,282206.505,4661658.854
3360001,03360,R,269500,4670500
