Date,Notes_opinion,Experience,Reputation
2017-06,innovation,5.8,6.0
2017-08,innovation,5.7,5.3
2016-12,prix,4.5,4.1
2017-09,prix,5.1,4.1
2017-12,prix,4.5,3.8
2015-10,innovation,5.5,5.4
2016-02,innovation,5.5,5.2
2016-02,globale,5.6,5.5
2016-09,globale,5.8,5.2
2015-11,globale,5.9,5.5
2015-10,prix,4.9,4.3
2016-04,prix,4.7,4.3
2016-05,prix,5.1,4.2
2016-11,prix,5.0,4.3
2016-06,prix,4.3,4.3
2014-04,ponctualité,4.9,3.7
