IdStation,CodePostal,TypeRoute,Long,Lat
59640001,59640,R,236047.848455,5102422.39528
59640002,59640,R,236047.848455,5102422.39528
59650001,59650,R,314909,5062625
59650002,59491,R,314041,5066480
59650003,59491,R,313527,5065925
59650006,59650,R,314324,5064355
59650007,59650,R,313884,5066322
59650008,59650,R,313393.475085,5062031.83825
59650009,59650,R,315988.065719,5061196.72751
59650011,59650,R,313222,5064586
59650012,59650,R,313527,5065925
59650013,59491,R,313539.032,5065967.936
59658001,59650,R,312162.345243,5063582.67585
59670001,59670,R,249356.18899882,5079772.2204962
59680001,59680,R,400607,5026010
59700002,59700,R,310014,5066428.5129
59700003,59280,R,288637.951956,5068921.21223
59700004,59700,R,308946,5066436
59700006,59700,R,309256,5068307
59700007,59700,R,310016,5066418
59700008,59700,R,310016,5066418
59700009,59700,R,309256,5068307
59710002,59710,R,311466,5052365
59710004,59710,R,307350,5054055
59710006,59710,R,307400,5054100
59720001,59720,R,395700,5025400
59721001,59220,R,339373,5032693
59730001,59730,R,349109,5018551
59730002,59730,R,349001,5018609
